Time,Event,Location
10-10:45am,"Ithaca College Voicestream, Ithacapella, Premium Blend",Bernie Milton Pavilion
11-11:45am,Sixteen Feathers,Bernie Milton Pavilion
12-12:45pm,June with Chandani,Bernie Milton Pavilion
12:30pm,Juggler Matan Presberg,West State Street
1-1:45pm,Mary Lorson,Bernie Milton Pavilion
2-3pm,Dapper Dan,Bernie Milton Pavilion
3pm,Hula Hut Polynesian Dance,West State Street
3:15-4:15pm,Radio London,Bernie Milton Pavilion
4:30-5pm,Mirage Belly Dancers,Bernie Milton Pavilion
5:15pm-6:15pm,NEO Project,Bernie Milton Pavilion
